Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Count,Protocols
192.168.18.114,239.255.255.250,SSDP,55724,1900,10,['SSDP']
192.168.18.114,192.0.66.233,TCP,50503,443,1,['TCP']
192.0.66.233,192.168.18.114,TCP,443,50503,1,['TCP']
8.8.4.4,192.168.18.114,TLS,443,50528,1,['TLS']
192.168.18.114,8.8.4.4,TCP,50528,443,2,['TCP']
8.8.4.4,192.168.18.114,TCP,443,50528,2,['TCP']
192.168.18.114,146.75.114.172,HTTP,50650,80,5,['HTTP']
146.75.114.172,192.168.18.114,TCP,80,50650,31,['TCP']
146.75.114.172,192.168.18.114,MEDIA,80,50650,4,['MEDIA']
192.168.18.114,146.75.114.172,TCP,50650,80,15,['TCP']
192.168.18.114,52.74.242.156,TCP,50580,80,3,['TCP']
52.74.242.156,192.168.18.114,TCP,80,50580,2,['TCP']
192.168.18.114,151.101.195.52,TLS,50613,443,17,['TLS']
151.101.195.52,192.168.18.114,TCP,443,50613,743,['TCP']
151.101.195.52,192.168.18.114,TLS,443,50613,81,['TLS']
192.168.18.114,151.101.195.52,TCP,50613,443,28,['TCP']
192.168.18.114,49.231.120.211,TLS,50587,443,1,['TLS']
49.231.120.211,192.168.18.114,TCP,443,50587,2,['TCP']
192.168.18.114,182.161.73.136,TCP,50588,80,3,['TCP']
192.168.18.114,216.239.32.178,TLS,50582,443,1,['TLS']
182.161.73.136,192.168.18.114,TCP,80,50588,2,['TCP']
192.168.18.114,151.101.67.52,TLS,50589,443,1,['TLS']
216.239.32.178,192.168.18.114,TCP,443,50582,2,['TCP']
192.168.18.114,23.56.154.143,TLS,50586,443,1,['TLS']
151.101.67.52,192.168.18.114,TCP,443,50589,3,['TCP']
23.56.154.143,192.168.18.114,TCP,443,50586,2,['TCP']
192.168.18.114,199.232.45.44,TLS,50594,443,1,['TLS']
192.168.18.114,199.232.45.44,TLS,50596,443,1,['TLS']
192.168.18.114,199.232.45.44,TLS,50595,443,1,['TLS']
192.168.18.114,199.232.45.44,TCP,50598,80,3,['TCP']
199.232.45.44,192.168.18.114,TCP,443,50594,3,['TCP']
199.232.45.44,192.168.18.114,TCP,80,50598,3,['TCP']
199.232.45.44,192.168.18.114,TCP,443,50596,3,['TCP']
199.232.45.44,192.168.18.114,TCP,443,50595,3,['TCP']
192.168.18.114,103.28.54.100,TLS,50548,27020,40,['TLS']
103.28.54.100,192.168.18.114,TCP,27020,50548,41,['TCP']
192.168.18.114,199.232.45.44,TLS,50599,443,1,['TLS']
199.232.45.44,192.168.18.114,TCP,443,50599,3,['TCP']
192.168.18.114,199.232.45.44,TCP,50581,80,3,['TCP']
199.232.45.44,192.168.18.114,TCP,80,50581,3,['TCP']
192.168.18.114,185.106.33.48,TCP,50601,80,3,['TCP']
192.168.18.114,77.88.21.119,TLS,50583,443,1,['TLS']
192.168.18.114,77.88.21.119,TLS,50584,443,1,['TLS']
185.106.33.48,192.168.18.114,TCP,80,50601,2,['TCP']
192.168.18.114,199.232.45.44,TCP,50592,80,3,['TCP']
199.232.45.44,192.168.18.114,TCP,80,50592,3,['TCP']
77.88.21.119,192.168.18.114,TCP,443,50583,2,['TCP']
77.88.21.119,192.168.18.114,TCP,443,50584,2,['TCP']
192.168.18.114,13.107.21.239,TLS,50646,443,5,['TLS']
13.107.21.239,192.168.18.114,TCP,443,50646,7,['TCP']
13.107.21.239,192.168.18.114,TLS,443,50646,3,['TLS']
192.168.18.114,13.107.21.239,TCP,50646,443,3,['TCP']
192.168.18.114,142.250.197.163,TLS,50636,443,4,['TLS']
192.168.18.114,8.8.4.4,QUIC,62552,443,6,['QUIC']
192.168.18.114,8.8.4.4,_WS.MALFORMED,62552,443,1,['_WS.MALFORMED']
192.168.18.114,8.8.4.4,TLS,50549,443,5,['TLS']
142.250.197.163,192.168.18.114,TCP,443,50636,4,['TCP']
142.250.197.163,192.168.18.114,TLS,443,50636,5,['TLS']
192.168.18.114,142.250.197.163,TCP,50636,443,3,['TCP']
8.8.4.4,192.168.18.114,QUIC,443,62552,11,['QUIC']
8.8.4.4,192.168.18.114,TCP,443,50549,5,['TCP']
8.8.4.4,192.168.18.114,TLS,443,50549,8,['TLS']
192.168.18.114,8.8.4.4,TCP,50549,443,3,['TCP']
192.168.18.114,142.250.198.163,TCP,50651,443,7,['TCP']
142.250.198.163,192.168.18.114,TCP,443,50651,10,['TCP']
192.168.18.114,142.250.198.163,TLS,50651,443,8,['TLS']
142.250.198.163,192.168.18.114,TLS,443,50651,8,['TLS']
192.168.18.114,96.16.101.139,TLS,50578,443,1,['TLS']
192.168.18.114,151.101.67.52,TLS,50616,443,1,['TLS']
192.168.18.114,96.16.101.139,TLS,50579,443,1,['TLS']
96.16.101.139,192.168.18.114,TCP,443,50578,2,['TCP']
96.16.101.139,192.168.18.114,TCP,443,50579,2,['TCP']
151.101.67.52,192.168.18.114,TCP,443,50616,3,['TCP']
192.168.18.114,96.16.101.139,TLS,50619,443,1,['TLS']
192.168.18.114,13.107.246.73,TLS,50617,443,1,['TLS']
96.16.101.139,192.168.18.114,TCP,443,50619,2,['TCP']
13.107.246.73,192.168.18.114,TCP,443,50617,2,['TCP']
192.168.18.114,151.101.67.52,TLS,50612,443,1,['TLS']
192.168.18.114,100.127.1.12,DNS,63528,53,28,['DNS']
100.127.1.12,192.168.18.114,DNS,53,63528,28,['DNS']
192.168.18.114,34.237.184.165,TCP,50652,80,4,['TCP']
151.101.67.52,192.168.18.114,TCP,443,50612,3,['TCP']
34.237.184.165,192.168.18.114,TCP,80,50652,4,['TCP']
192.168.18.114,34.237.184.165,HTTP,50652,80,1,['HTTP']
34.237.184.165,192.168.18.114,HTTP,80,50652,1,['HTTP']
192.168.18.114,34.237.184.165,TCP,50653,80,4,['TCP']
192.168.18.114,8.8.4.4,QUIC,56074,443,14,['QUIC']
192.168.18.114,8.8.4.4,_WS.MALFORMED,56074,443,1,['_WS.MALFORMED']
192.168.18.114,8.8.4.4,TCP,50654,443,6,['TCP']
8.8.4.4,192.168.18.114,TCP,443,50654,4,['TCP']
192.168.18.114,8.8.4.4,TLS,50654,443,3,['TLS']
8.8.4.4,192.168.18.114,QUIC,443,56074,17,['QUIC']
34.237.184.165,192.168.18.114,TCP,80,50653,4,['TCP']
192.168.18.114,34.237.184.165,HTTP,50653,80,1,['HTTP']
8.8.4.4,192.168.18.114,TLS,443,50654,3,['TLS']
192.168.18.114,204.79.197.239,TCP,50655,443,10,['TCP']
204.79.197.239,192.168.18.114,TCP,443,50655,13,['TCP']
192.168.18.114,204.79.197.239,TLS,50655,443,8,['TLS']
204.79.197.239,192.168.18.114,TLS,443,50655,6,['TLS']
34.237.184.165,192.168.18.114,HTTP,80,50653,1,['HTTP']
192.168.18.114,20.43.150.84,TCP,50472,443,1,['TCP']
192.168.18.114,142.250.157.188,DATA,50483,5228,1,['DATA']
142.250.157.188,192.168.18.114,TCP,5228,50483,2,['TCP']
192.168.18.114,104.208.16.89,TLS,50640,443,5,['TLS']
192.168.18.114,142.250.76.10,TLS,50505,443,1,['TLS']
142.250.76.10,192.168.18.114,TCP,443,50505,2,['TCP']
104.208.16.89,192.168.18.114,TCP,443,50640,4,['TCP']
104.208.16.89,192.168.18.114,TLS,443,50640,2,['TLS']
192.168.18.114,104.208.16.89,TCP,50640,443,3,['TCP']
192.168.18.114,8.8.4.4,TLS,50497,443,1,['TLS']
192.168.18.114,8.8.4.4,TLS,50496,443,1,['TLS']
192.168.18.114,8.8.4.4,TLS,50495,443,1,['TLS']
8.8.4.4,192.168.18.114,TCP,443,50497,2,['TCP']
8.8.4.4,192.168.18.114,TCP,443,50495,2,['TCP']
8.8.4.4,192.168.18.114,TCP,443,50496,2,['TCP']
192.168.18.114,199.232.45.44,TCP,50595,443,2,['TCP']
192.168.18.114,199.232.45.44,TCP,50596,443,2,['TCP']
192.168.18.114,199.232.45.44,TCP,50594,443,2,['TCP']
192.168.18.114,77.88.21.119,TCP,50583,443,2,['TCP']
192.168.18.114,77.88.21.119,TCP,50584,443,2,['TCP']
192.168.18.114,199.232.45.44,TCP,50599,443,2,['TCP']
192.168.18.114,216.239.32.178,TCP,50582,443,2,['TCP']
192.168.18.114,199.232.44.201,TCP,50524,443,2,['TCP']
192.168.18.114,204.79.197.203,TCP,50525,443,2,['TCP']
192.168.18.114,185.199.110.153,TCP,50527,443,2,['TCP']
192.168.18.114,13.107.21.239,TCP,50526,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50530,443,2,['TCP']
192.168.18.114,49.231.120.26,TCP,50531,443,2,['TCP']
192.168.18.114,13.107.246.73,TCP,50617,443,2,['TCP']
192.168.18.114,13.107.246.73,TCP,50645,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50529,443,2,['TCP']
192.168.18.114,34.199.101.34,TCP,50515,443,1,['TCP']
192.168.18.114,34.199.101.34,TCP,50514,443,2,['TCP']
192.168.18.114,142.250.198.99,TCP,50641,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50498,443,2,['TCP']
192.168.18.114,142.250.76.10,TCP,50505,443,2,['TCP']
192.168.18.114,142.250.198.206,TCP,50500,443,2,['TCP']
192.168.18.114,104.18.32.47,TCP,50504,443,2,['TCP']
192.168.18.114,35.190.80.1,TCP,50506,443,2,['TCP']
192.168.18.114,172.64.146.98,TCP,50507,443,2,['TCP']
192.168.18.114,142.250.71.142,TCP,50638,443,2,['TCP']
192.168.18.114,142.250.71.142,TCP,50639,443,2,['TCP']
192.168.18.114,104.18.32.47,TCP,50512,443,2,['TCP']
192.168.18.114,142.250.197.35,TCP,50642,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50497,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50496,443,2,['TCP']
192.168.18.114,142.250.198.142,TCP,50635,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50494,443,2,['TCP']
192.168.18.114,142.250.198.163,TCP,50634,443,2,['TCP']
192.168.18.114,8.8.4.4,TCP,50495,443,2,['TCP']
192.168.18.114,49.231.120.211,TCP,50587,443,2,['TCP']
192.168.18.114,23.56.154.143,TCP,50586,443,2,['TCP']
192.168.18.114,96.16.101.139,TCP,50620,443,1,['TCP']
192.168.18.114,96.16.101.139,TCP,50578,443,2,['TCP']
192.168.18.114,96.16.101.139,TCP,50579,443,2,['TCP']
192.168.18.114,96.16.101.139,TCP,50619,443,2,['TCP']
49.231.120.26,192.168.18.114,TLS,443,50531,1,['TLS']
49.231.120.26,192.168.18.114,TCP,443,50531,1,['TCP']
192.168.18.114,104.208.16.89,TCP,50637,443,2,['TCP']
204.79.197.203,192.168.18.114,TCP,443,50525,2,['TCP']
96.16.101.139,192.168.18.114,TCP,443,50620,1,['TCP']
96.16.101.139,192.168.18.114,TLS,443,50578,1,['TLS']
96.16.101.139,192.168.18.114,TLS,443,50619,1,['TLS']
13.107.21.239,192.168.18.114,TCP,443,50526,2,['TCP']
96.16.101.139,192.168.18.114,TLS,443,50579,1,['TLS']
49.231.120.211,192.168.18.114,TLS,443,50587,1,['TLS']
192.168.18.114,151.101.67.52,TCP,50589,443,2,['TCP']
